时间,教室,温度,光照,人员数,空调,照明
10:04:57,A-101,25.3,261.0,0,待机,维持
10:04:59,A-101,25.3,506.0,0,待机,调暗
10:05:01,A-101,22.7,458.0,0,待机,维持
10:05:03,A-101,21.4,287.0,0,制热中,维持
10:08:01,A-101,21.2,285.0,0,制热中,维持
10:08:03,A-101,22.9,375.0,0,待机,维持
10:08:05,A-101,21.8,250.0,0,制热中,维持
10:08:07,A-101,25.2,423.0,0,待机,维持
10:08:09,A-101,26.6,302.0,0,制冷中,维持
10:08:11,A-101,27.0,500.0,0,制冷中,维持
19:46:30,A-101,22.8,311.0,0,待机,维持
19:46:32,A-101,23.6,381.0,0,待机,维持
19:46:35,A-101,22.1,386.0,0,待机,维持
20:25:40,A-101,26.4,293.0,1,制冷中,开灯
20:25:42,A-101,22.8,493.0,1,待机,维持
20:25:44,A-101,26.0,456.0,1,待机,维持
20:25:46,A-101,26.1,392.0,1,制冷中,维持
