时间,教室,温度,光照,人员数,空调,照明
10:04:57,A-101,25.3,261.0,0,待机,维持
10:04:59,A-101,25.3,506.0,0,待机,调暗
10:05:01,A-101,22.7,458.0,0,待机,维持
10:05:03,A-101,21.4,287.0,0,制热中,维持
10:08:01,A-101,21.2,285.0,0,制热中,维持
10:08:03,A-101,22.9,375.0,0,待机,维持
10:08:05,A-101,21.8,250.0,0,制热中,维持
10:08:07,A-101,25.2,423.0,0,待机,维持
10:08:09,A-101,26.6,302.0,0,制冷中,维持
10:08:11,A-101,27.0,500.0,0,制冷中,维持
19:46:30,A-101,22.8,311.0,0,待机,维持
19:46:32,A-101,23.6,381.0,0,待机,维持
19:46:35,A-101,22.1,386.0,0,待机,维持
20:25:40,A-101,26.4,293.0,1,制冷中,开灯
20:25:42,A-101,22.8,493.0,1,待机,维持
20:25:44,A-101,26.0,456.0,1,待机,维持
20:25:46,A-101,26.1,392.0,1,制冷中,维持
22:53:05,A-101,24.5,326.0,0,待机,维持
22:53:08,A-101,26.3,402.0,0,制冷中,维持
22:53:10,A-101,23.4,367.0,0,待机,维持
22:53:12,A-101,25.9,425.0,0,待机,维持
22:53:14,A-101,23.4,327.0,0,待机,维持
22:53:16,A-101,22.8,375.0,0,待机,维持
22:53:18,A-101,22.0,419.0,0,待机,维持
22:53:20,A-101,22.7,490.0,0,待机,维持
22:53:22,A-101,21.8,362.0,0,制热中,维持
22:53:24,A-101,26.9,527.0,0,制冷中,调暗
22:53:26,A-101,22.7,427.0,0,待机,维持
22:53:28,A-101,21.0,442.0,0,制热中,维持
22:53:30,A-101,25.4,376.0,0,待机,维持
22:53:32,A-101,24.8,512.0,0,待机,调暗
22:53:34,A-101,23.5,305.0,0,待机,维持
22:53:36,A-101,23.4,387.0,0,待机,维持
22:53:38,A-101,23.9,279.0,0,待机,维持
22:53:40,A-101,24.3,472.0,0,待机,维持
22:53:42,A-101,26.3,425.0,0,制冷中,维持
22:53:45,A-101,27.0,441.0,0,制冷中,维持
22:53:47,A-101,26.9,456.0,0,制冷中,维持
22:53:49,A-101,26.5,348.0,0,制冷中,维持
22:53:51,A-101,22.1,466.0,0,待机,维持
22:53:53,A-101,21.0,517.0,0,制热中,调暗
22:53:55,A-101,24.4,526.0,0,待机,调暗
22:53:57,A-101,24.5,333.0,0,待机,维持
22:53:59,A-101,21.8,427.0,0,制热中,维持
22:54:01,A-101,26.2,315.0,0,制冷中,维持
22:54:03,A-101,26.4,317.0,0,制冷中,维持
22:54:05,A-101,26.2,320.0,0,制冷中,维持
22:54:08,A-101,21.9,381.0,0,制热中,维持
22:54:10,A-101,26.0,488.0,0,待机,维持
22:54:12,A-101,24.2,266.0,0,待机,维持
22:54:14,A-101,24.4,358.0,0,待机,维持
22:54:16,A-101,24.1,453.0,0,待机,维持
22:54:18,A-101,24.7,296.0,0,待机,维持
22:54:20,A-101,23.4,442.0,0,待机,维持
22:54:22,A-101,23.7,320.0,0,待机,维持
22:54:25,A-101,24.4,514.0,0,待机,调暗
22:54:27,A-101,26.6,428.0,0,制冷中,维持
22:54:29,A-101,25.8,394.0,0,待机,维持
22:54:31,A-101,25.0,547.0,0,待机,调暗
22:54:33,A-101,24.9,438.0,0,待机,维持
22:54:35,A-101,23.0,315.0,0,待机,维持
22:54:37,A-101,24.9,360.0,0,待机,维持
22:54:39,A-101,24.1,520.0,0,待机,调暗
22:54:41,A-101,26.2,332.0,0,制冷中,维持
22:54:44,A-101,21.1,344.0,0,制热中,维持
22:54:46,A-101,21.4,295.0,0,制热中,维持
22:54:48,A-101,26.8,379.0,0,制冷中,维持
22:54:50,A-101,24.0,309.0,0,待机,维持
22:54:52,A-101,24.2,286.0,0,待机,维持
22:54:54,A-101,21.9,472.0,0,制热中,维持
22:54:56,A-101,25.0,490.0,0,待机,维持
22:54:59,A-101,22.0,439.0,0,待机,维持
22:55:01,A-101,22.1,495.0,0,待机,维持
22:55:03,A-101,21.1,376.0,0,制热中,维持
22:55:05,A-101,25.3,441.0,0,待机,维持
22:55:07,A-101,26.5,314.0,0,制冷中,维持
22:55:09,A-101,21.6,381.0,0,制热中,维持
22:55:11,A-101,26.3,527.0,0,制冷中,调暗
22:55:14,A-101,21.3,406.0,0,制热中,维持
22:55:16,A-101,26.0,404.0,0,待机,维持
22:55:18,A-101,23.2,250.0,0,待机,维持
22:55:20,A-101,25.9,384.0,0,待机,维持
22:55:22,A-101,25.7,332.0,0,待机,维持
22:55:24,A-101,24.9,418.0,0,待机,维持
22:55:26,A-101,26.9,439.0,0,制冷中,维持
22:55:29,A-101,22.5,502.0,0,待机,调暗
22:55:31,A-101,25.2,515.0,0,待机,调暗
22:55:33,A-101,24.7,354.0,0,待机,维持
22:55:35,A-101,23.2,357.0,0,待机,维持
22:55:37,A-101,24.1,271.0,0,待机,维持
22:55:39,A-101,22.7,313.0,0,待机,维持
22:55:41,A-101,24.5,417.0,0,待机,维持
22:55:44,A-101,24.9,462.0,0,待机,维持
22:55:46,A-101,22.5,502.0,0,待机,调暗
22:55:48,A-101,24.3,338.0,0,待机,维持
22:55:50,A-101,26.8,312.0,0,制冷中,维持
